repeatIndex,nodes,tasksPerNode,chunkSize,chunksPerTask,direct,filesystem,singleFile,repeat,stripes,operation,alignment,strided,randomStrided,bandwidth,dataSize,tasks
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,105.69819713497388,3541.7748621522337,192
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,104.21936588998125,3541.7748621522337,192
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,100.94702308869985,3541.7748621522337,192
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,102.40072697201818,3541.7748621522337,192
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,108.67387690276696,3541.7748621522337,192
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,126.55679581987187,3541.7748621522337,192
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,31.897295402653967,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,34.29531344992777,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,35.662343461145284,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,34.70741143392289,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,34.34159732191349,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,35.47053007069966,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,34.2930022594794,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,33.81006873002656,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,32.62582890835451,221.3609288845146,48
0,2,24,1024,4096,False,vast,False,10,1,write,4096,False,False,37.06072278860271,221.3609288845146,48
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,82.36301527927462,1106.804644422573,240
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,85.77366774022538,1106.804644422573,240
