repeatIndex,nodes,tasksPerNode,chunkSize,chunksPerTask,direct,filesystem,singleFile,repeat,bandwidth,dataSize
0,1,288,32,64,False,lustre,False,10,2.6200794618693304,664.0827866535438
0,1,288,32,64,False,lustre,False,10,2.689276106237204,664.0827866535438
0,1,288,32,64,False,lustre,False,10,3.6870879319080965,664.0827866535438
0,1,288,32,64,False,lustre,False,10,3.639399773067552,664.0827866535438
0,1,288,32,64,False,lustre,False,10,3.4156753209011272,664.0827866535438
0,1,288,32,64,False,lustre,False,10,3.409906484029906,664.0827866535438
0,1,288,32,64,False,lustre,False,10,3.4509661383234516,664.0827866535438
0,1,288,32,64,False,lustre,False,10,3.4702399507035553,664.0827866535438
0,1,288,32,64,False,lustre,False,10,3.498245969881781,664.0827866535438
0,1,288,32,64,False,vast,False,10,17.43731519743421,664.0827866535438
0,1,288,32,64,False,vast,False,10,17.30630691731721,664.0827866535438
0,1,288,32,64,False,vast,False,10,16.819733675072754,664.0827866535438
0,1,288,32,64,False,vast,False,10,18.703166930793923,664.0827866535438
0,1,288,32,64,False,vast,False,10,19.130339723624704,664.0827866535438
0,1,288,32,64,False,vast,False,10,18.621197262738807,664.0827866535438
0,1,288,32,64,False,vast,False,10,20.07600337810613,664.0827866535438
0,1,288,32,64,False,vast,False,10,20.154033817739034,664.0827866535438
0,1,288,32,64,False,vast,False,10,19.99696225775811,664.0827866535438
0,1,288,32,64,False,vast,False,10,19.77528142452437,664.0827866535438
0,1,24,32,64,False,vast,False,10,21.14519660923977,55.34023222112865
0,1,24,32,64,False,vast,False,10,20.198059665090277,55.34023222112865
0,1,24,32,64,False,vast,False,10,21.45911554089652,55.34023222112865
0,1,24,32,64,False,vast,False,10,21.271820757581697,55.34023222112865
0,1,24,32,64,False,vast,False,10,21.29235566003367,55.34023222112865
0,1,24,32,64,False,vast,False,10,21.411290081672547,55.34023222112865
0,1,24,32,64,False,vast,False,10,21.138217058306992,55.34023222112865
0,1,24,32,64,False,vast,False,10,21.28068598084459,55.34023222112865
0,1,24,32,64,False,vast,False,10,21.301526382662946,55.34023222112865
0,1,24,32,64,False,vast,False,10,21.288880961064123,55.34023222112865
0,1,144,32,64,False,lustre,False,10,13.230016253633822,332.0413933267719
0,1,144,32,64,False,lustre,False,10,8.17769536167373,332.0413933267719
0,1,144,32,64,False,lustre,False,10,5.648512460126356,332.0413933267719
0,1,144,32,64,False,lustre,False,10,5.510281980373005,332.0413933267719
0,1,144,32,64,False,lustre,False,10,5.512199325618003,332.0413933267719
0,1,144,32,64,False,lustre,False,10,5.641384151805199,332.0413933267719
0,1,144,32,64,False,lustre,False,10,5.603576171572199,332.0413933267719
0,1,144,32,64,False,lustre,False,10,5.652919556977887,332.0413933267719
0,1,144,32,64,False,lustre,False,10,5.4918482959374,332.0413933267719
0,1,144,32,64,False,lustre,False,10,5.688762549235243,332.0413933267719
0,1,1,32,64,False,vast,False,10,6.902616540053093,2.305843009213694
0,1,1,32,64,False,vast,False,10,7.200117871607667,2.305843009213694
0,1,1,32,64,False,vast,False,10,6.823585310733335,2.305843009213694
0,1,1,32,64,False,vast,False,10,7.545730825600263,2.305843009213694
0,1,1,32,64,False,vast,False,10,6.89927196978392,2.305843009213694
0,1,1,32,64,False,vast,False,10,7.32686268341728,2.305843009213694
0,1,1,32,64,False,vast,False,10,7.212445518626253,2.305843009213694
0,1,1,32,64,False,vast,False,10,6.944710865020983,2.305843009213694
0,1,1,32,64,False,vast,False,10,7.540065917355412,2.305843009213694
0,1,1,32,64,False,vast,False,10,7.070655469502782,2.305843009213694
0,1,8,32,64,False,vast,False,10,20.369319783842954,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.53495667250964,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.810463549741623,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.37361382414152,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.197824530065592,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.40917721059975,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.35269354532521,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.761212415591828,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.641156129240414,18.446744073709553
0,1,8,32,64,False,vast,False,10,20.797604651668014,18.446744073709553
0,1,24,32,64,False,lustre,False,10,7.428916827609144,55.34023222112865
0,1,24,32,64,False,lustre,False,10,10.144752411755375,55.34023222112865
0,1,24,32,64,False,lustre,False,10,9.901032308449393,55.34023222112865
0,1,24,32,64,False,lustre,False,10,5.528093383198639,55.34023222112865
0,1,24,32,64,False,lustre,False,10,5.5356862094998665,55.34023222112865
0,1,24,32,64,False,lustre,False,10,6.765451800165692,55.34023222112865
0,1,24,32,64,False,lustre,False,10,6.880544545212058,55.34023222112865
0,1,24,32,64,False,lustre,False,10,6.868719881709297,55.34023222112865
0,1,24,32,64,False,lustre,False,10,9.975307809467397,55.34023222112865
0,1,24,32,64,False,lustre,False,10,9.990814847485773,55.34023222112865
0,1,2,32,64,False,vast,False,10,11.746681387503166,4.611686018427388
0,1,2,32,64,False,vast,False,10,11.222503930266374,4.611686018427388
0,1,2,32,64,False,vast,False,10,12.9720345511388,4.611686018427388
0,1,2,32,64,False,vast,False,10,11.22960054255806,4.611686018427388
0,1,2,32,64,False,vast,False,10,12.31394631125156,4.611686018427388
0,1,2,32,64,False,vast,False,10,11.908373487448753,4.611686018427388
0,1,2,32,64,False,vast,False,10,12.345328870541099,4.611686018427388
0,1,2,32,64,False,vast,False,10,12.412974978373827,4.611686018427388
0,1,2,32,64,False,vast,False,10,12.840295100874938,4.611686018427388
0,1,2,32,64,False,vast,False,10,12.287768723111904,4.611686018427388
0,1,144,32,64,False,vast,False,10,21.239619722928182,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.318024618741383,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.078902133806558,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.40270163336541,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.295791323251898,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.36249509704955,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.444029753057254,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.31162423990859,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.38458770150976,332.0413933267719
0,1,144,32,64,False,vast,False,10,21.378994846957298,332.0413933267719
